iter	Passed	Remaining
0	170	170302
1	171	85575
2	172	57245
3	172	43029
4	173	34543
5	174	28891
6	175	24873
7	176	21845
8	176	19473
9	177	17589
10	178	16048
11	179	14777
12	180	13687
13	181	12759
14	181	11948
15	182	11237
16	183	10610
17	184	10052
18	185	9554
19	185	9107
20	186	8708
21	187	8341
22	188	8003
23	189	7694
24	190	7416
25	190	7153
26	191	6909
27	192	6685
28	193	6478
29	194	6293
30	195	6121
31	196	5956
32	197	5799
33	199	5659
34	200	5520
35	201	5385
36	201	5254
37	202	5129
38	203	5012
39	204	4904
40	205	4800
41	206	4703
42	207	4623
43	209	4543
44	210	4460
45	211	4383
46	212	4309
47	213	4235
48	214	4164
49	215	4094
50	216	4024
51	217	3958
52	218	3896
53	219	3840
54	220	3780
55	221	3728
56	222	3675
57	223	3623
58	223	3570
59	224	3519
60	225	3466
61	225	3416
62	226	3367
63	227	3324
64	228	3283
65	229	3243
66	230	3210
67	231	3176
68	233	3144
69	234	3115
70	235	3078
71	236	3043
72	237	3009
73	238	2978
74	238	2946
75	239	2915
76	240	2883
77	241	2855
78	242	2829
79	243	2804
80	245	2781
81	246	2760
82	247	2734
83	248	2708
84	249	2683
85	250	2658
86	251	2634
87	251	2609
88	252	2583
89	253	2559
90	253	2536
91	254	2516
92	256	2497
93	257	2482
94	258	2461
95	259	2441
96	260	2421
97	260	2401
98	261	2381
99	262	2363
100	263	2343
101	264	2325
102	264	2307
103	265	2289
104	266	2273
105	267	2259
106	269	2245
107	270	2232
108	271	2221
109	273	2211
110	274	2199
111	275	2185
112	276	2171
113	277	2157
114	278	2145
115	280	2136
116	281	2125
117	282	2111
118	283	2098
119	284	2089
120	286	2077
121	286	2065
122	287	2051
123	288	2039
124	289	2027
125	290	2017
126	292	2007
127	292	1995
128	293	1982
129	294	1972
130	295	1961
131	296	1949
132	297	1938
133	298	1926
134	298	1914
135	299	1903
136	300	1891
137	301	1880
138	302	1871
139	303	1862
140	304	1857
141	305	1848
142	306	1838
143	307	1828
144	308	1818
145	309	1809
146	310	1800
147	311	1790
148	311	1779
149	312	1770
150	313	1760
151	314	1752
152	315	1745
153	316	1737
154	317	1731
155	318	1723
156	319	1714
157	320	1705
158	320	1696
159	321	1688
160	322	1679
161	323	1671
162	323	1663
163	324	1655
164	325	1646
165	326	1639
166	327	1636
167	329	1632
168	333	1637
169	334	1635
170	336	1629
171	337	1623
172	338	1616
173	339	1611
174	340	1607
175	342	1602
176	343	1596
177	344	1589
178	345	1583
179	345	1576
180	346	1569
181	347	1562
182	348	1556
183	349	1551
184	350	1544
185	351	1540
186	353	1534
187	353	1528
188	355	1523
189	355	1517
190	356	1510
191	357	1503
192	358	1497
193	359	1491
194	360	1486
195	361	1481
196	361	1475
197	362	1469
198	363	1464
199	365	1461
200	366	1456
201	367	1451
202	368	1446
203	369	1441
204	370	1435
205	371	1430
206	372	1425
207	373	1420
208	373	1414
209	374	1409
210	375	1404
211	376	1400
212	377	1395
213	378	1390
214	379	1385
215	380	1380
216	381	1375
217	382	1370
218	382	1365
219	383	1360
220	384	1355
221	385	1351
222	386	1346
223	387	1342
224	388	1337
225	389	1333
226	390	1329
227	391	1325
228	392	1320
229	393	1315
